LLM,Alignment,Precision,Recall,F1
gpt-4o-2024-05-13,conference/confof-iasted/component/source_no_validation,20.00,77.78,31.82
gpt-4o-2024-05-13,conference/confof-iasted/component/source,71.43,55.56,62.50
gpt-4o-2024-05-13,conference/confof-iasted/component/target_no_validation,13.04,66.67,21.82
gpt-4o-2024-05-13,conference/confof-iasted/component/target,36.36,44.44,40.00
gpt-4o-2024-05-13,conference/confof-iasted/component/no_validation,25.00,66.67,36.36
gpt-4o-2024-05-13,conference/confof-iasted/component/llm_with_agent,100.00,44.44,61.54
gpt-4o-2024-05-13,conference/confof-sigkdd/component/source_no_validation,24.14,100.00,38.89
gpt-4o-2024-05-13,conference/confof-sigkdd/component/source,66.67,85.71,75.00
gpt-4o-2024-05-13,conference/confof-sigkdd/component/target_no_validation,25.00,85.71,38.71
gpt-4o-2024-05-13,conference/confof-sigkdd/component/target,60.00,85.71,70.59
gpt-4o-2024-05-13,conference/confof-sigkdd/component/no_validation,46.15,85.71,60.00
gpt-4o-2024-05-13,conference/confof-sigkdd/component/llm_with_agent,83.33,71.43,76.92
gpt-4o-2024-05-13,conference/edas-ekaw/component/source_no_validation,17.27,82.61,28.57
gpt-4o-2024-05-13,conference/edas-ekaw/component/source,53.57,65.22,58.82
gpt-4o-2024-05-13,conference/edas-ekaw/component/target_no_validation,20.83,86.96,33.61
gpt-4o-2024-05-13,conference/edas-ekaw/component/target,51.72,65.22,57.69
gpt-4o-2024-05-13,conference/edas-ekaw/component/no_validation,43.18,82.61,56.72
gpt-4o-2024-05-13,conference/edas-ekaw/component/llm_with_agent,76.47,56.52,65.00
gpt-4o-2024-05-13,conference/edas-iasted/component/source_no_validation,20.97,68.42,32.10
gpt-4o-2024-05-13,conference/edas-iasted/component/source,40.91,47.37,43.90
gpt-4o-2024-05-13,conference/edas-iasted/component/target_no_validation,18.92,73.68,30.11
gpt-4o-2024-05-13,conference/edas-iasted/component/target,37.04,52.63,43.48
gpt-4o-2024-05-13,conference/edas-iasted/component/no_validation,44.44,63.16,52.17
gpt-4o-2024-05-13,conference/edas-iasted/component/llm_with_agent,50.00,47.37,48.65
gpt-4o-2024-05-13,conference/edas-sigkdd/component/source_no_validation,21.54,93.33,35.00
gpt-4o-2024-05-13,conference/edas-sigkdd/component/source,40.91,60.00,48.65
gpt-4o-2024-05-13,conference/edas-sigkdd/component/target_no_validation,35.00,93.33,50.91
gpt-4o-2024-05-13,conference/edas-sigkdd/component/target,72.22,86.67,78.79
gpt-4o-2024-05-13,conference/edas-sigkdd/component/no_validation,54.17,86.67,66.67
gpt-4o-2024-05-13,conference/edas-sigkdd/component/llm_with_agent,75.00,60.00,66.67
gpt-4o-2024-05-13,conference/ekaw-iasted/component/source_no_validation,12.68,90.00,22.22
gpt-4o-2024-05-13,conference/ekaw-iasted/component/source,33.33,80.00,47.06
gpt-4o-2024-05-13,conference/ekaw-iasted/component/target_no_validation,12.66,100.00,22.47
gpt-4o-2024-05-13,conference/ekaw-iasted/component/target,35.00,70.00,46.67
gpt-4o-2024-05-13,conference/ekaw-iasted/component/no_validation,33.33,90.00,48.65
gpt-4o-2024-05-13,conference/ekaw-iasted/component/llm_with_agent,53.85,70.00,60.87
gpt-4o-2024-05-13,conference/ekaw-sigkdd/component/source_no_validation,16.39,90.91,27.78
gpt-4o-2024-05-13,conference/ekaw-sigkdd/component/source,39.13,81.82,52.94
gpt-4o-2024-05-13,conference/ekaw-sigkdd/component/target_no_validation,26.32,90.91,40.82
gpt-4o-2024-05-13,conference/ekaw-sigkdd/component/target,66.67,90.91,76.92
gpt-4o-2024-05-13,conference/ekaw-sigkdd/component/no_validation,37.50,81.82,51.43
gpt-4o-2024-05-13,conference/ekaw-sigkdd/component/llm_with_agent,75.00,81.82,78.26
gpt-4o-2024-05-13,conference/iasted-sigkdd/component/source_no_validation,14.44,86.67,24.76
gpt-4o-2024-05-13,conference/iasted-sigkdd/component/source,65.00,86.67,74.29
gpt-4o-2024-05-13,conference/iasted-sigkdd/component/target_no_validation,25.45,93.33,40.00
gpt-4o-2024-05-13,conference/iasted-sigkdd/component/target,65.00,86.67,74.29
gpt-4o-2024-05-13,conference/iasted-sigkdd/component/no_validation,35.29,80.00,48.98
gpt-4o-2024-05-13,conference/iasted-sigkdd/component/llm_with_agent,76.47,86.67,81.25
